Website,Email(s),LinkedIn,Twitter,Facebook
https://zoom.us,Not Found,Not Found,Not Found,Not Found
https://www.shopify.com,monique@email.com,https://www.linkedin.com/company/shopify,https://twitter.com/shopify,https://www.facebook.com/shopify
https://stripe.com,"navodita.grawal@example.com, navin.grawal@example.com",Not Found,Not Found,Not Found
https://intercom.com,Not Found,Not Found,Not Found,Not Found
https://buffer.com,Not Found,https://www.linkedin.com/company/bufferapp,Not Found,https://www.facebook.com/bufferapp
https://www.sendinblue.com,Not Found,https://www.linkedin.com/company/brevo/,https://twitter.com/brevo_official,https://facebook.com/brevo.official
https://vercel.com,Not Found,https://linkedin.com/company/vercel,Not Found,Not Found
https://www.basecamp.com,"julie.young@hey.com, jason@basecamp.com, david@basecamp.com",Not Found,Not Found,Not Found
https://www.hotjar.com,"optimizely-sdk@4.7.0, example@email.com",https://mt.linkedin.com/company/hotjar,https://twitter.com/hotjar,Not Found
https://notion.so,Not Found,https://www.linkedin.com/company/notionhq/,https://twitter.com/NotionHQ,https://www.facebook.com/NotionHQ/
